condition 3,50
condition 3,59
condition 3,31
condition 3,47
condition 3,38
condition 3,53
condition 3,56
condition 3,47
condition 3,41
condition 3,59
condition 3,34
condition 3,44
condition 3,38
condition 3,59
condition 3,28
condition 3,63
condition 3,63
condition 3,72
condition 3,72
condition 3,97
condition 3,88
condition 3,75
condition 3,81
condition 3,63
condition 3,72
condition 3,84
condition 3,63
condition 3,69
condition 3,63
condition 3,63
condition 3,69
condition 3,88
condition 3,81
condition 3,81
condition 2,63
condition 2,100
condition 2,50
condition 2,75
condition 2,88
condition 2,75
condition 2,100
condition 2,88
condition 2,63
condition 2,75
condition 2,69
condition 2,69
condition 2,59
condition 2,56
condition 2,25
condition 2,66
condition 2,75
condition 2,75
condition 2,88
condition 2,75
condition 2,88
condition 2,84
condition 2,88
condition 2,63
condition 2,88
condition 2,63
condition 2,81
condition 2,97
condition 2,100
condition 2,88
condition 2,72
condition 2,63
condition 2,75
condition 2,75
