condition 1,91
condition 1,97
condition 1,97
condition 1,99
condition 1,97
condition 1,86
condition 1,93
condition 1,97
condition 1,97
condition 1,68
condition 1,94
condition 1,95
condition 1,77
condition 1,80
condition 1,93
condition 1,62
condition 1,95
condition 1,90
condition 1,92
condition 1,74
condition 1,87
condition 1,94
condition 1,84
condition 1,49
condition 1,89
condition 1,75
condition 1,50
condition 1,93
condition 2,75
condition 2,77
condition 2,91
condition 2,100
condition 2,100
condition 2,72
condition 2,33
condition 2,96
condition 2,91
condition 2,83
condition 2,90
condition 2,93
condition 2,96
condition 2,87
condition 2,72
condition 2,90
condition 2,90
condition 2,81
condition 3,50
condition 3,59
condition 3,31
condition 3,47
condition 3,38
condition 3,53
condition 3,56
condition 3,47
condition 3,41
condition 3,59
condition 3,34
condition 3,44
condition 3,38
condition 3,59
condition 3,28
condition 3,63
condition 3,63
condition 3,72
condition 3,72
condition 3,97
condition 3,88
condition 3,75
condition 3,81
condition 3,63
condition 3,72
condition 3,84
condition 3,63
condition 3,69
condition 3,63
condition 3,63
condition 3,69
condition 3,88
condition 3,81
condition 3,81
condition 2,63
condition 2,100
condition 2,50
condition 2,75
condition 2,88
condition 2,75
condition 2,100
condition 2,88
condition 2,63
condition 2,75
condition 2,69
condition 2,69
condition 2,59
condition 2,56
condition 2,25
condition 2,66
condition 2,75
condition 2,75
condition 2,88
condition 2,75
condition 2,88
condition 2,84
condition 2,88
condition 2,63
condition 2,88
condition 2,63
condition 2,81
condition 2,97
condition 2,100
condition 2,88
condition 2,72
condition 2,63
condition 2,75
condition 2,75
